Location,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_diam_mm,Photo date,Notes,,
1,BB_139,G1,-,3,3R,34.752,3/15,,,Completed Folders:
2,BB_181,G1,-,5,4R,28.16,3/15,,,BB 2/15 - 2/16
2,BB_132,G2,X,3,5L,20.615,2/15,One petal folded,,BB 3/1 - 2 
2,BB_044,G1,-,2,5R,30.703,3/15,,,BB 4/12-13
2,BB_150,G1,-,3,6L,29.72,2/15,non-fitness plant,,
2,BB_150,G1,-,5,6L,35.17,3/15,,,BB 5/10-11
2,BB_002,G2,X,3,6R,25.175,3/15,,,BB 5/24 -25
3,BB_052,G2,X,2,7R,22.117,2/15,non-fitness,,BB 4/26 -27
3,BB_052,G2,X,4,7R,27.363,3/15,,,
3,BB_206,G1,-,3,8L,28.124,3/1,,,Note: Duplicate measurements from different dates separated into separate rows
3,BB_206,G1,-,3,8L,28.034,3/15,,,
3,BB_068,G1,-,4,8R,30.232,3/15,,,
3,BB_147,G2,X,5,9L,,,,,
3,BB_053,G1,-,5,9R,26.154,3/1,,,
4,BB_069,G2,X,5,10L,25.605,3/1,,,
4,BB_086,G1,-,1,10R,33.443,3/15,,,
4,BB_215,G1,-,3,11R,,,Flower had only two petals. non-fitness plant,,
4,BB_215,G1,-,5,11R,,,,,
4,BB_051,G1,-,5,12L,,,,,
4,BB_134,G2,X,1,12R,24.342,3/15,,,
4,BB_134,G2,X,2,12R,21.59,2/15,,,
5,BB_148,G1,-,3,13L,22.76,3/1,,,
5,BB_004,G1,-,4,13R,20.145,3/1,,,
5,BB_143,G2,X,1,14L,27.615,3/15,photo name says id145,,
5,BB_143,G2,X,5,14L,28.177,3/1,,,
5,BB_159,G2,X,1,14R,29.186,3/1,,,
5,BB_159,G2,X,5,14R,27.934,3/15,,,
5,BB_017,G1,-,1,15L,21.631,2/15,,,
5,BB_088,G1,-,3,15R,19.277,2/15,,,
6,BB_013,G1,-,4,16L,34.038,3/29,,,
6,BB_179,G1,-,1,16R,28.49,4/12,,,
6,BB_179,G1,-,5,16R,26.623,3/29,non-fitness plant,,
6,BB_166,G1,-,2,17L,22.73,2/15,,,
6,BB_076,G1,-,1,18L,25.356,3/1,,,
6,BB_076,G1,-,3,18L,17.215,3/15,non-fitness plant,,
6,BB_205A,G2,X,4,18R,26.819,3/29,,,
7,BB_025,G1,-,1,19L,27.858,3/15,,,
7,BB_086,G1,-,1,20L,15.337,2/15,non-fitness plant,,
7,BB_086,G1,-,2,20L,28.773,3/15,,,
7,BB_092,G1,-,4,20R,36.822,3/29,,,
8,BB_152,G1,-,5,22R,27.185,3/29,,,
8,BB_020,G1,-,2,23L,18.446,2/15,non-fitness plant ,,
8,BB_020,G1,-,4,23L,27.901,3/15,,,
8,BB_116,G2,X,1,23R,32.46,3/15,,,
8,BB_019,G2,X,2,24L,34.878,3/15,,,
8,BB_019,G2,X,4,24L,25.676,3/1,non-fitness plant ,,
8,BB_195,G1,-,1,24R,23.13,2/15,non-fitness plant ,,
8,BB_195,G1,-,2,24R,22.111,2/15,,,
9,BB_190,G1,-,2,25L,29.533,2/15,non-fitness plant ,,
9,BB_190,G1,-,3,25L,26.686,3/15,,,
9,BB_190,G1,-,5,25L,30.087,2/15,non-fitness plant ,,
9,BB_029,G1,-,4,25R,29.362,3/15,,,
9,BB_010,G1,-,1,26L,31.2,4/26,,,
9,BB_010,G1,-,2,26L,20.483,2/15,non-fitness plant,,
9,BB_010,G1,-,5,26L,25.366,4/12,non-fitness plant,,
9,BB_181,G1,-,1,26R,26.874,3/29,,,
9,BB_132,G2,X,2,27L,34.868,3/29,,,
9,BB_020,G1,-,1,27R,24.387,5/24,,,
10,BB_149,G2,X,2,28L,33.27,3/29,,,
10,BB_029,G2,X,1,28R,30.922,3/29,,,
10,BB_029,G1,-,5,29L,26.132,3/1,,,
10,BB_135,G1,-,1,29R,25.279,4/12,,,
10,BB_135,G1,-,3,29R,31.177,3/15,non-fitness plant,,
