Donor,Recipient,mean_surv_to_flowering,mean_fruit_prod,mean_est_seed_prod_R,mean_surv_x_est_seed_prod_R,total_seed_count
BO_001,BO_025,0.5416666666666666,2,0,0,0
BO_001,BO_048,0.375,2.6666666666666665,0.09651034155502279,0.08038797090322437,2
BO_001,BO_151,0.4583333333333333,1.3333333333333333,0.1289654108154582,0.16635670289545976,2
BO_005,BO_019,0.375,0.5,0,0,0
BO_005,BO_122,0.25,0,NA,NA,0
BO_005,BO_176,0.375,6.333333333333333,0.8028280692480508,0.7480720981421337,10
BO_013,BO_053,0.5,0,NA,NA,0
BO_013,BO_114,0.25,3,NA,NA,0
BO_013,BO_141,0.25,3.5,1.3460934203556905,1.5762914993376926,14
BO_022,BO_009,0.125,17.5,2.256894689270519,0.5822484601341091,2
BO_022,BO_020,0.20833333333333334,3.3333333333333335,0.9633936830976609,0.4488432588852802,2
BO_022,BO_146,0.375,6.5,0.9699032575152643,1.491370517833958,7
BO_029,BO_061,0.5416666666666666,12,0.7050965535196473,1.2385147494796156,2
BO_029,BO_090,0.4166666666666667,2.3333333333333335,0.1289654108154582,0.23289938405364363,1
BO_029,BO_190,0.3125,4,1.1239592969472711,0.7854757030492404,7
BO_032,BO_088,0.375,5.666666666666667,1.2846748647409598,0.9536985179022873,13
BO_032,BO_096,0.375,0,NA,NA,0
BO_032,BO_132,0.5,3.6666666666666665,3.2113122769922033,2.992288392568535,20
BO_033,BO_099,0.2916666666666667,6.333333333333333,0.6583454624344208,0.40465698728740473,9
BO_033,BO_124,0.5,4.5,0.6422624553984406,0.14961441962842673,4
BO_033,BO_143,0.8125,0.5,0,0,0
BO_038,BO_082,0.3333333333333333,1.6666666666666667,0,0,0
BO_038,BO_137,0.5,2,1.3502899155440355,1.4965706481942154,9
BO_038,BO_149,0.4583333333333333,2.3333333333333335,0.19302068311004558,0.2189119436719538,3
BO_039,BO_087,0.5,0,NA,NA,0
BO_039,BO_102,0.4375,5.5,1.2036771676109432,1.2421300482860993,8
BO_039,BO_200,0.5416666666666666,19,2.299808568668251,2.350974777747947,12
BO_040,BO_029,0.4166666666666667,3,0.698033284105995,0.6877203548033792,4
BO_040,BO_067,0.9375,0.5,0.16056561384961016,0.29922883925685345,1
BO_040,BO_171,0.5416666666666666,1.3333333333333333,0,0,0
BO_058,BO_094,0.5,2.6666666666666665,2.064326308352658,1.3016812990671873,35
BO_058,BO_123,0.5833333333333334,2.3333333333333335,1.799104254719289,2.2195293214358,13
BO_065,BO_014,0.25,1.6666666666666667,0,0,0
BO_065,BO_078,0.5,1.6666666666666667,0.0429884702718194,0.06654268115818389,1
BO_065,BO_115,0.6666666666666666,3.3333333333333335,2.249970272837623,4.0301836378722244,20
BO_069,BO_043,0.5625,5.5,3.0908880666049954,3.6000969723090184,7
BO_069,BO_145,0.5,2.5,0.28844859007621937,0.675553499716154,6
BO_069,BO_201,0.5,2.6666666666666665,0,0,0
BO_070,BO_046,0.3125,0,NA,NA,0
BO_070,BO_066,0.375,0.3333333333333333,0,0,0
BO_070,BO_184,0.5416666666666666,1.3333333333333333,0.3856139331069494,0.3990428609941293,5
